"elaborado","nombre","provincia","id","version","origen.productor","origen.web","origen.enlace","origen.language","origen.copyright","origen.notaLegal","estadoCielo.value","estadoCielo.periodo","estadoCielo.descripcion","precipitacion.value","precipitacion.periodo","nieve.value","nieve.periodo","temperatura.value","temperatura.periodo","sensTermica.value","sensTermica.periodo","humedadRelativa.value","humedadRelativa.periodo","fecha","orto","ocaso","viento.direccion","viento.velocidad","viento.periodo","viento.value"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","01","Despejado","0","01","0","01","9","01","7","01","63","01","2023-02-28T00:00:00","07:53","19:14","O","13","01","21"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","02","Despejado","0","02","0","02","8","02","6","02","55","02","2023-02-28T00:00:00","07:53","19:14","O","13","02","19"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","03","Despejado","0","03","0","03","7","03","5","03","48","03","2023-02-28T00:00:00","07:53","19:14","O","12","03","18"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","04","Despejado","0","04","0","04","6","04","3","04","45","04","2023-02-28T00:00:00","07:53","19:14","O","12","04","18"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","17n","05","Nubes altas","0","05","0","05","6","05","3","05","42","05","2023-02-28T00:00:00","07:53","19:14","O","12","05","21"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","12n","06","Poco nuboso","0","06","0","06","5","06","2","06","42","06","2023-02-28T00:00:00","07:53","19:14","O","14","06","22"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","12n","07","Poco nuboso","0","07","0","07","5","07","2","07","41","07","2023-02-28T00:00:00","07:53","19:14","O","15","07","23"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","12","08","Poco nuboso","0","08","0","08","4","08","0","08","41","08","2023-02-28T00:00:00","07:53","19:14","O","16","08","24"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","09","Despejado","0","09","0","09","7","09","4","09","39","09","2023-02-28T00:00:00","07:53","19:14","NO","14","09","25"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","10","Despejado","0","10","0","10","9","10","7","10","38","10","2023-02-28T00:00:00","07:53","19:14","O","15","10","30"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","11","Despejado","0","11","0","11","10","11","10","11","37","11","2023-02-28T00:00:00","07:53","19:14","NO","17","11","30"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","12","Despejado","0","12","0","12","12","12","12","12","32","12","2023-02-28T00:00:00","07:53","19:14","NO","16","12","28"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","12","13","Poco nuboso","0","13","0","13","13","13","13","13","28","13","2023-02-28T00:00:00","07:53","19:14","NO","14","13","19"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","14","Despejado","0","14","0","14","14","14","14","14","31","14","2023-02-28T00:00:00","07:53","19:14","E","8","14","28"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","15","Despejado","0","15","0","15","15","15","15","15","36","15","2023-02-28T00:00:00","07:53","19:14","SE","14","15","24"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","16","Despejado","0","16","0","16","15","16","15","16","32","16","2023-02-28T00:00:00","07:53","19:14","SE","13","16","24"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","17","Despejado","0","17","0","17","16","17","16","17","33","17","2023-02-28T00:00:00","07:53","19:14","SE","11","17","15"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","18","Despejado","0","18","0","18","15","18","15","18","33","18","2023-02-28T00:00:00","07:53","19:14","E","7","18","7"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","19","Despejado","0","19","0","19","14","19","14","19","41","19","2023-02-28T00:00:00","07:53","19:14","NE","4","19","11"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","20","Despejado","0","20","0","20","12","20","12","20","38","20","2023-02-28T00:00:00","07:53","19:14","O","8","20","17"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","21","Despejado","0","21","0","21","11","21","11","21","39","21","2023-02-28T00:00:00","07:53","19:14","NO","12","21","24"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","22","Despejado","0","22","0","22","9","22","7","22","29","22","2023-02-28T00:00:00","07:53","19:14","NO","15","22","22"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","23","Despejado","0","23","0","23","9","23","7","23","29","23","2023-02-28T00:00:00","07:53","19:14","NO","13","23","31"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","00","Despejado","0","00","0","00","8","00","5","00","32","00","2023-03-01T00:00:00","07:51","19:15","O","20","00","30"
