"","latitud","provincia","altitud","indicativo","nombre","indsinop","longitud","grados_lat","minutos_lat","segundos_lat","orient_lat","latitud_dec","grados_lon","minutos_lon","segundos_lon","orient_lon","longitud_dec"
"204","383606N","MURCIA","640","7275C","YECLA","08356","010935W",38,36,6,"N",38.6016666666667,1,9,35,"W",-1.15972222222222
"205","385715N","ALBACETE","702","8175","ALBACETE BASE AÉREA","08280","015123W",38,57,15,"N",38.9541666666667,1,51,23,"W",-1.85638888888889
"206","390020N","ALBACETE","676","8178D","ALBACETE","08279","015144W",39,0,20,"N",39.0055555555556,1,51,44,"W",-1.86222222222222
"207","385609N","ALBACETE","880","8177A","CHINCHILLA","08278","013936W",38,56,9,"N",38.9358333333333,1,39,36,"W",-1.66
"208","382221N","ALICANTE","81","8025","ALICANTE/ALACANT","08359","002939W",38,22,21,"N",38.3725,0,29,39,"W",-0.494166666666667
"209","381658N","ALICANTE","43","8019","ALICANTE-ELCHE AEROPUERTO","08360","003415W",38,16,58,"N",38.2827777777778,0,34,15,"W",-0.570833333333333
"210","384701N","ALICANTE","15","8050X","JÁVEA/ XÀBIA","08370","001004E",38,47,1,"N",38.7836111111111,0,10,4,"E",0.167777777777778
"211","395726N","CASTELLON","43","8500A","CASTELLÓN - ALMASSORA","08286","000419W",39,57,26,"N",39.9572222222222,0,4,19,"W",-0.0719444444444444
"212","395920N","CASTELLON","25","8501","CASTELLÓN DE LA PLANA","","000224W",39,59,20,"N",39.9888888888889,0,2,24,"W",-0.04
"213","402600N","CASTELLON","1131","8489X","VILLAFRANCA DEL CID/VILLAFRANCA","08241","001521W",40,26,0,"N",40.4333333333333,0,15,21,"W",-0.255833333333333
"214","403315N","CASTELLON","111","8523X","VINARÒS","08239","002547E",40,33,15,"N",40.5541666666667,0,25,47,"E",0.429722222222222
"215","400402N","CUENCA","948","8096","CUENCA","08231","020755W",40,4,2,"N",40.0672222222222,2,7,55,"W",-2.13194444444444
"216","402102N","TERUEL","900","8368U","TERUEL","08235","010727W",40,21,2,"N",40.3505555555556,1,7,27,"W",-1.12416666666667
"217","385544N","VALENCIA","5","8058X","OLIVA","08282","000545W",38,55,44,"N",38.9288888888889,0,5,45,"W",-0.0958333333333333
