"","latitud","id_old","url","latitud_dec","altitud","capital","num_hab","zona_comarcal","destacada","nombre","longitud_dec","id","longitud"
"5909","40º32'39.753348""","19642","salmeron-id19247","40.54437593","824","Salmerón","177","681903","0","Salmerón","-2.49375621","19247","-2º29'37.522356"""
"5910","40º48'5.50656""","37514","salmoral-id37276","40.80152960","908","Salmoral","155","673701","0","Salmoral","-5.21926750","37276","-5º13'9.363"""
"5911","40º36'41.06376""","05567","salobral-id05197","40.61140660","1084","Salobral","123","670502","0","Salobral","-4.81089062","05197","-4º48'39.206232"""
"5912","38º35'31.029288""","02690","salobre-id02070","38.59195258","920","Salobre","561","680202","0","Salobre","-2.55057256","02070","-2º33'2.061216"""
"5913","36º44'35.925972""","18735","salobrena-id18173","36.74331277","77","Salobreña","12431","611804","1","Salobreña","-3.58852615","18173","-3º35'18.69414"""
"5914","41º13'46.785144""","43670","salomo-id43135","41.22966254","162","Salomó","539","694303","0","Salomó","1.37500773","43135","1º22'30.027828"""
"5915","39º28'41.0538""","10640","salorino-id10162","39.47807050","330","Salorino","642","701003","0","Salorino","-7.01011795","10162","-7º0'36.42462"""
"5916","41º4'36.662448""","43672","salou-id43905","41.07685068","3","Salou","26558","694303","1","Salou","1.13197961","43905","1º7'55.126596"""
"5917","41º58'27.750468""","17586","salt-id17155","41.97437513","86","Salt","30103","691702","1","Salt","2.78141235","17155","2º46'53.08446"""
"5918","37º25'7.190544""","41425","salteras-id41085","37.41866404","152","Salteras","5468","614102","0","Salteras","-6.11166812","41085","-6º6'42.005232"""
"5919","40º5'55.56408""","16676","salvacanete-id16189","40.09876780","1212","Salvacañete","318","681602","0","Salvacañete","-1.50242309","16189","-1º30'8.723124"""
"5920","40º52'36.590844""","05570","salvadios-id05198","40.87683079","951","Salvadiós","82","670501","0","Salvadiós","-5.09616762","05198","-5º5'46.203432"""
"5921","41º6'57.679416""","47560","salvador-de-zapardiel-id47141","41.11602206","770","Salvador de Zapardiel","144","674701","0","Salvador de Zapardiel","-4.87578081","47141","-4º52'32.810916"""
"5922","38º30'34.592508""","06575","salvaleon-id06116","38.50960903","523","Salvaleón","1916","700603","0","Salvaleón","-6.78590473","06116","-6º47'9.257028"""
"5923","42º5'30.176808""","36490","salvaterra-de-mino-castelo-o-id36050","42.09171578","72","Castelo, O","9626","713603","0","Salvaterra de Miño","-8.49931549","36050","-8º29'57.535764"""
